,addtime,befores,content,country,forecast,id,importance,influence,nid,publish,publishtime,shorttime,time,type
107,1390573830,-765.8,美国至1月17日当周EIA原油库存(万桶),美国,115,108,3,利多,0,99,2017/03/01 23:30:00,14年1月24,2014年1月24日,1
108,1391005830,99,美国至1月24日当周EIA原油库存(万桶),美国,225,109,3,利空,0,642.1,2017/03/01 23:30:00,14年1月29,2014年1月29日,1
109,1391610630,642.1,美国至1月31日当周EIA原油库存(万桶),美国,255,110,3,利多,0,44,2017/03/01 23:30:00,14年2月5,2014年2月5日,1
110,1392215430,44,美国至2月7日当周EIA原油库存(万桶),美国,260,111,3,利空,0,326.7,2017/03/01 23:30:00,14年2月12,2014年2月12日,1
111,1392993030,326.7,美国至2月14日当周EIA原油库存(万桶),美国,225,112,3,利多,0,97.3,2017/03/01 23:30:00,14年2月21,2014年2月21日,1
112,1393425030,97.3,美国至2月21日当周EIA原油库存(万桶),美国,127.5,113,3,利多,0,6.8,2017/03/01 23:30:00,14年2月26,2014年2月26日,1
113,1394029830,6.8,美国至2月28日当周EIA原油库存(万桶),美国,130,114,3,利空,0,142.9,2017/03/01 23:30:00,14年3月5,2014年3月5日,1
114,1394634630,142.9,美国至3月7日当周EIA原油库存(万桶),美国,200,115,3,利空,0,618,2017/03/01 23:30:00,14年3月12,2014年3月12日,1
115,1395239430,618,美国3月14日当周EIA原油库存(万桶),美国,275,116,3,利空,0,585,2017/03/01 23:30:00,14年3月19,2014年3月19日,1
116,1395844230,585,美国至3月21日当周EIA原油库存(万桶),美国,250,117,3,利空,0,661.9,2017/03/01 23:30:00,14年3月26,2014年3月26日,1
117,1396449030,661.9,美国至3月28日当周EIA原油库存(万桶),美国,250,118,3,利多,0,-237.9,2017/03/01 23:30:00,14年4月2,2014年4月2日,1
118,1397053830,-237.9,美国至4月4日当周EIA原油库存(万桶),美国,75,119,3,利空,0,403,2017/03/01 23:30:00,14年4月9,2014年4月9日,1
119,1397658630,403,美国4月11日当周EIA原油库存(万桶),美国,175,120,3,利空,0,1001.3,2017/03/01 23:30:00,14年4月16,2014年4月16日,1
120,1398263430,1001.3,美国至4月18日当周EIA原油库存(万桶),美国,300,121,3,利空,0,352.4,2017/03/01 23:30:00,14年4月23,2014年4月23日,1
121,1398868230,352.4,美国至4月25日当周EIA原油库存(万桶),美国,220,122,3,利多,0,169.8,2017/03/01 23:30:00,14年4月30,2014年4月30日,1
122,1399473030,169.8,美国至5月2日当周EIA原油库存(万桶),美国,125,123,3,利多,0,-178.1,2017/03/01 23:30:00,14年5月7,2014年5月7日,1
123,1400077830,-178.1,美国5月9日当周EIA原油库存(万桶),美国,待公布,124,3,利空,0,94.7,2017/03/01 23:30:00,14年5月14,2014年5月14日,2
124,1400682630,94.7,美国至5月16日当周EIA原油库存(万桶),美国,待公布,125,3,利多,0,-722.6,2017/03/01 23:30:00,14年5月21,2014年5月21日,2
125,1401373830,-722.6,美国至5月23日当周EIA原油库存(万桶),美国,50,126,3,利空,0,165.7,2017/03/01 23:30:00,14年5月29,2014年5月29日,1
126,1401892230,165.7,美国至5月30日当周EIA原油库存(万桶),美国,-25,127,3,利多,0,-343.1,2017/03/01 23:30:00,14年6月4,2014年6月4日,1
127,1402497030,-343.1,美国至6月8日当周EIA原油库存(万桶),美国,-200,128,3,利多,0,-259.6,2017/03/01 23:30:00,14年6月11,2014年6月11日,1
128,1403101830,-259.6,美国至6月13日当周EIA原油库存(万桶),美国,-75,129,3,利空,0,-57.9,2017/03/01 23:30:00,14年6月18,2014年6月18日,1
129,1403706630,-57.9,美国至6月20日当周EIA原油库存(万桶),美国,-170,130,3,利空,0,174.2,2017/03/01 23:30:00,14年6月25,2014年6月25日,1
130,1404311430,174.2,美国至6月27日当周EIA原油库存(万桶),美国,-240,131,3,利多,0,-315.5,2017/03/01 23:30:00,14年7月2,2014年7月2日,1
131,1404916230,-315.5,美国至7月4日当周EIA原油库存(万桶),美国,-250,132,3,利空,0,-237,2017/03/01 23:30:00,14年7月9,2014年7月9日,1
132,1405521030,-237,美国7月11日当周EIA原油库存(万桶),美国,-275,133,3,利多,0,-752.5,2017/03/01 23:30:00,14年7月16,2014年7月16日,1
133,1406125830,-752.5,美国至7月18日当周EIA原油库存(万桶),美国,-290,134,3,利多,0,-396.9,2017/03/01 23:30:00,14年7月23,2014年7月23日,1
134,1406730630,-396.9,美国至7月25日当周EIA原油库存(万桶),美国,-125,135,3,利多,0,-369.7,2017/03/01 23:30:00,14年7月30,2014年7月30日,1
135,1407335430,-369.7,美国至8月1日当周EIA原油库存(万桶),美国,-155,136,3,利多,0,-175.6,2017/03/01 23:30:00,14年8月6,2014年8月6日,1
